word,definition,translation
zincs,n a bluish-white lustrous metallic element; brittle at ordinary temperatures but malleable when heated; used in a wide variety of alloys and in galvanizing iron; it occurs naturally as zinc sulphide in zinc blende\nv coat or cover with zinc,n. <化>锌( zinc的名词复数 )\nv. <化>锌( zinc的第三人称单数 )
zincspar,,菱锌矿
zincum,,n. (=zinc)[化]锌
zincweiss,,"一种明亮的白色颜料(稳定, 覆盖力强, 主要用于水彩画, 也适用于壁画)"
zincy,,"a. (=zincky)似锌的, 含锌的"
zindabad,,vt.[用于口号]祈祝…万岁
zindel,, [人名] 津德尔
Zinder,,津德尔[尼日尔南部城市]
Zine,,[计] 电子杂志
zine chill,,[医] 锌中毒性寒战
zine plate,,[电] 锌片
zine plating,,[电] 镀锌
zine-sulphide,,[电] 硫化锌
zineb,,[化]代森锌(一种农业用有机硫杀菌剂)
Zinedine Zidane,,齐达内（法国足球运动员）
zines,,n. <美口>爱好者杂志（尤指科学幻想小说迷出版的或为他们出版的杂志）( zine的名词复数 )
zinethyl,,二乙锌
zinfandel,n. small black grape grown chiefly in California; transplanted from Europe\nn. dry fruity red wine from California,馨芳葡萄酒
zing,n. a brief high-pitched buzzing or humming sound,"n. 尖啸声, 活力\nvi. 发尖啸声\nvt. 对...挑剔"
zingale,, [人名] 津盖尔
Zingara,,[意]吉普赛女人
zingari,pl.  of Zingaro,n. 金加利人；吉普赛人（Zingaro的复数形式）
zingaro,n. A gypsy.,n. 吉普赛人
zinged,,"v. <非正> （使）呼啸疾行( zing的过去式和过去分词 ); 轻快, 活泼; 攻击"
zingel,"n. A small, edible, freshwater European perch (Aspro zingel),\n   having a round, elongated body and prominent snout.",n. [动]欧洲鲈鱼
zinger,n. a striking or amusing or caustic remark,n. 有力的反驳/警句
zingerone,,"姜油酮, β-(3-甲氧基-4-羟苯基)-2-丁酮"
zingers,,有力地驳斥( zinger的名词复数 )；击中要害的话；意想不到的事；令人震惊的事
zingiber,n. tropical Asiatic and Polynesian perennial plants: ginger,n. 姜\n[医] 姜
Zingiber Adans.,,[医] 姜属
Zingiber mioga Rose,,[医] ㄙ荷
Zingiber officinale,,[网络] 姜；生姜；干姜
zingiber oleoresin,,[医] 姜油树脂
Zingiberaceae,n a family of tropical monocotyledonous plants of order Musales,[医] 姜科
zingiberaceous,"a. Of or pertaining to ginger, or to a tribe\n   (Zingibereae) of endogenous plants of the order Scitamineae. See\n   Scitamineous.",a. [植]姜科的(亦作 zinziberaceous)
zingiberene,,姜烯
zingiberine,,[机] 姜碱
zingiberol,,姜醇
zingiberone,,[化] 姜酮
zinging,-ing form of zing\nn. a brief high-pitched buzzing or humming sound,"(zing 的现在分词) n. 尖啸声, 活力\nvi. 发尖啸声\nvt. 对...挑剔"
zings,plural of zing\nn. a brief high-pitched buzzing or humming sound,"(zing 的复数) n. 尖啸声, 活力\nvi. 发尖啸声\nvt. 对...挑剔"
zingy,,"a. 使愉快而激动的, 极漂亮的, 极吸引人的"
zini,, [地名] [加纳] 济尼
Zinjanthropine,,n. 非洲原人(包括东非人在内的非洲史前原人)
Zinjanthropus,n genus to which Australopithecus boisei was formerly assigned,n. 东非人(距今约150万年前的原始人)
zink,n. See Zinc., [人名] 津克
zinkalium,,津卡锌铝合金
zinkazurite,,杂铜皓矾
zinkenite,n a steel grey metallic mineral (a sulphide of lead and antimony),n. 辉锑铅矿
zinkify,,"包锌, 镀锌"
zinking,,"包锌, 镀锌"
zinkite,,n. 红锌矿
zinkosite,,(=zincosite)锌矾
zinkphyllite,,磷锌矿
zinkspath,,菱锌矿
zinky,a. See Zincky.,"a. 锌制的, 含锌的"
zinman,, [人名] 津曼
Zinn,,齐恩合金
Zinn's central artery,,[医] 秦氏中央动脉(视网膜中央动脉)
Zinn's circle,,[医] 秦氏环(视神经血管环)
Zinn's circlet,,[医] 视神经血管环
Zinn's corona,,[医] 秦氏冠(视神经血管环)
Zinn's ligament,,"[医] 秦氏韧带, 总腱环(眼直肌)"
Zinn's ligaments,,"[医] 秦氏韧带, 总腱环(跟直肌)"
Zinn's membrane,,[医] 秦氏膜(虹膜前层)
zinn's membranes,,[医] 秦氏膜(睫状小带)
Zinn's ring,,"[医] 秦氏杯, 总腱环(眼直肌)"
Zinn's tendon,,"[医] 秦氏腱, 秦氏韧带"
Zinn's zonule,,[医] 秦氏小带(睫状小带)
Zinnal,,双面包锡双金属轧制的耐蚀铝板
zinnecker,, [人名] 津内克
zinnemann,, [人名] 津内曼
zinner,, [人名] 津纳
zinnia,n. any of various plants of the genus Zinnia cultivated for their variously and brightly colored flower heads,n. 百日草
Zinnia acerosa,,[网络] 百日草
Zinnia grandiflora,,[网络] 大花百日草
zinnias,plural of zinnia\nn. any of various plants of the genus Zinnia cultivated for their variously and brightly colored flower heads,(zinnia 的复数) n. 百日草
zinnober,,"辰砂, 朱砂"
zinnwaldite,n a mica containing iron and lithium,铁锂云母
zino,,n. (Zino)人名；(意)齐诺
Zinophos,,硫磷嗪
zinosan,,代森锌(农药)
zinostatin,,[化] 净司他丁
Zinoviev,,n. (Zinoviev)人名；(俄)季诺维也夫
Zinovyev,,n. (Zinovyev)人名；(俄)季诺维也夫
zinser,, [人名] 津瑟
Zinsser,n United States bacteriologist who helped develop immunization against typhus fever (1878-1940),津泽(姓氏)
Zinsser inconsistency,,[医] 津塞氏不协调现象
Zinzendorf,,[网络] 亲岑多夫；铎夫；多夫氏
ziolkowski,, [人名] 齐奥尔科夫斯基
ziomism,,n. 钖安主义
zion,n. originally a stronghold captured by David (the 2nd king of the Israelites); above it was built a temple and later the name extended to the whole hill; finally it became a synonym for the city of Jerusalem,"n. 锡安山；耶路撒冷；基督教会；天国, 天堂"
Zion National Park,,[网络] 锡安国家公园；宰恩国家公园；锡安山国家公园
Zionism,n. a policy for establishing and developing a national homeland for Jews in Palestine\nn. a movement of world Jewry that arose late in the 19th century with the aim of creating a Jewish state in Palestine,n. 犹太复国主义
Zionist,n. a Jewish supporter of Zionism\na. relating to or characteristic of Zionism\na. relating to or characteristic of a supporter of Zionism,n. 犹太复国主义者\na. 犹太复国主义者的
Zionist movement,,[网络] 犹太复国主义运动；锡安复国运动；犹太民族复国运动
Zionistic,,a. Zionism的变形
zionists,n. a Jewish supporter of Zionism,n. 犹太复国运动的支持者或拥护者( Zionist的复数形式 )
Zionite,,n. 支持或拥护犹太人复国运动者
zionsville,, [地名] [美国] 宰恩斯维尔
Zionward,,adv. 向天堂
zip,n a quantity of no importance\nn a code of letters and digits added to a postal address to aid in the sorting of mail\nn forceful exertion\nn a fastener for locking together two toothed edges by means of a sliding tab\nv close with a zipper\nv move very fast,"n. 尖啸声, 拉链, 活力\nvt. 给...以速度, 使增加活力, 拉(拉链)\nvi. 有力而迅速地行动, 嘘嘘地响, 拉拉链"
zip across the horizon,,一鸣惊人
zip by,, [体]擦肩而过
zip code,,"邮政编码\n[法] 邮区代码, 邮政编码"
zip fastener,,n. 拉链
zip gun,,自制小手枪
zip it up and zip it out,"A saying used to say goodbye to what is usually a caucasian business man with no knowledge of slang in order to confound and embarrass them.\n> George: ""So that'll close off the deal? Great. You have a good weekend Dave.""\n> Dave: ""Aight man, zip it up and zip it out!""\n> George: ""Uhh...zippity doo dah! bye bye!""\n",
zip mode,,[电] 加速模态
zip sb up,,替某人拉上拉链
zip sth up,,把...的拉链拉起来
zip up,," 增添滋味, 增加兴趣或生命力"
zip your lips,,别开口
zip your soup-cooler,"Imperative command meaning ""Shut your mouth"", ""Let's hear no more from you"", or simply ""Shut the fuck up"". Often said to Negroes, Hebrews, Frenchmen, and others known to make slurping noises whilst eating soup.  \n> 1)Deputy Bubba Beernut:""Zip your soup-cooler, Sambo, I'll take no sass from you!""\n> 2)American to French waiter:""Zip your soup cooler, Pierre, I don't want snails. Bring me a hamburger, and be quick about it.""\n",
zip-code,,"vt. <美>在…上标明邮政编码, 标邮政编码于"
zip-fastener,,n. 拉链
zip-in,,adj. 用拉链拉上的
zip-lock,,vt. 封锁（消息、新闻等）
zip-top,,adj. （罐头）易拉式的
zip-up,, 用拉链的
zipax,,薄膜涂敷树脂(二氧化硅球表面涂有一薄层树脂)
zipcode,,n. 邮政编码
zipeprol,,[化] 齐培丙醇; 镇咳嗪
zipes,, [人名] 宰普斯
Zipf law,,[计] 齐夫定律
Ziphiidae,,[网络] 喙鲸科；剑吻鲸科
ziphioid,n. See Xiphioid.,剑吻鲸
zipless,,a. <粗><俚><性行为>短暂而猛烈的
zipless fuck,"A phrase coined by Erica Jong in the book ""Fear of Flying"".  As described by her - It is a sexual encounter between strangers that has the swift compression of a dream and is seemingly free of all remorse and guilt. It is absolutely pure, there is no power game and it is free of ulterior motives.  It has also been described as the perfect one night stand.\n> The zipless fuck is the purest thing there is, rarer than the unicorn and I have never had one.  - ""Fear of Flying""\n",
ziploc,,n. 密封塑胶袋（商标名）
zipp,,"锡普糊, 氧化锌碘仿糊"
zipp paste,,[医] 氧化锌碘仿糊(含氧化锌、碘仿、液状石蜡)
zipped,v close with a zipper\nv move very fast,a. 用拉链扣上的
zippeite,,水铀矾
zipper,n a fastener for locking together two toothed edges by means of a sliding tab\nv close with a zipper,n. 拉链
zipper conveyer,,[化] 密闭式运输带
zippered,v close with a zipper,"a. 装有拉链的, 拉链式的"
zipperhead,"A derogatory term used in reference to people of Asian descent. \r\n\r\nIt is said to have been coined during the Korean war by frontline troops whom had run over enemy troops in jeeps. \r\n\r\nThe soldiers claimed that the tire tracks from the jeeps left a pattern resembling that of a closed zipper along the corpse.\n> Damn, look at all the zipperheads here, it's like they've just taken over.\n",
zippering,,拉上拉链( zipper的现在分词 )；用拉链扣上
zippers,n. a fastener for locking together two toothed edges by means of a sliding tab\nv. close with a zipper,"n. <美>拉链( zipper的复数形式 ); 用拉链的人, 装拉链的包"
zippier,comparative of zippy\ns quick and energetic\ns marked by lively action,"(zippy 的比较级) a. 元气旺盛的, 敏捷的, 活泼的"
zipping,v close with a zipper\nv move very fast,v. 用拉链拉上或扣上( zip的现在分词 ); （使沿某方向）快速移动
zippo,n a quantity of no importance,n. 汽油金属打火机
zippy,s quick and energetic\ns marked by lively action,"a. 元气旺盛的, 敏捷的, 活泼的"
zips,n a quantity of no importance\nn a code of letters and digits added to a postal address to aid in the sorting of mail\nn forceful exertion\nn a fastener for locking together two toothed edges by means of a sliding tab\nv close with a zipper\nv move very fast,n. 拉链( zip的名词复数 ); 能量; 速度; 零\nv. 用拉链拉上或扣上( zip的第三人称单数 ); （使沿某方向）快速移动
ziram,,n. [化]福美锌(用作橡胶促进剂及农业杀菌剂)
Zirberk,,福美锌
zircal,,锌镁铜铬锰铁硅合金
zircaloy,,n. [冶]锆合金(亦作 zircalloy)
zircite,,[化]氧化锆
zircon,n. a common mineral occurring in small crystals; chief source of zirconium; used as a refractory when opaque and as a gem when transparent,n. 锆石\n[化] 锆石
zircon alba,,[化] 二氧化锆
zircon brick,,[化] 锆石砖
zircon refractory,,[化] 锆质耐火材料
zircon-alumina brick,,[化] 锆铝砖
zirconate,n. A salt of zirconic acid.,n. 锆酸盐\n[机] 锆酸根
zirconia,n a white crystalline oxide; used in refractories and in insulation and abrasives and enamels and glazes,n. 氧化锆\n[化] 氧化锆
zirconic,"a. Pertaining to, containing, or resembling, zirconium; as,\n   zirconic oxide; zirconic compounds.","a. [矿]锆的, 含锆的"
zirconic acid,,[化] 锆酸
zirconic anhydride,,[机] 氧化锆
zirconin,,锆试剂
zirconite,,锆英石
zirconium,n. a lustrous grey strong metallic element resembling titanium; it is used in nuclear reactors as a neutron absorber; it occurs in baddeleyite but is obtained chiefly from zircon,n. 锆\n[化] 锆Zr
zirconium anhydride,,[化] 二氧化锆; 锆酸酐
zirconium boride,,[机] 硼化锆
zirconium bromide,,[化] 溴化锆
zirconium carbide,,[化] 一碳化锆
zirconium chloride,,[机] 四氯化锆
zirconium deuteride,,[化] 氘化锆
zirconium diboride,,[机] 硼化锆
zirconium dioxide,,[化] 二氧化锆\n[医] 二氧化锆
zirconium halide,,[机] 卤化锆
zirconium hydride,,[机] 氢化锆
zirconium hydroxide,,[化] 氢氧化锆
zirconium lamp,,[电] 锆灯
zirconium nitrate,,[化] 硝酸锆
zirconium nitride,,[化] 二氮化锆
zirconium oxide,,"[医] 氧化锆, 二氧化锆"
zirconium oxybromide,,[化] 二溴氧化锆
zirconium oxychloride,,[化] 氯氧化锆
zirconium phosphate,,[机] 磷酸锆
zirconium sesquioxide,,[化] 三氧化二锆
zirconium silicate,, 硅酸锆
zirconium sulfate,,[化] 硫酸锆
zirconium tanning,,[化] 锆鞣
zirconium tetrachloride,,[化] 四氯化锆
zirconolite,,n. [矿]钛锆钍矿
zircons,plural of zircon\nn. a common mineral occurring in small crystals; chief source of zirconium; used as a refractory when opaque and as a gem when transparent,(zircon 的复数) n. 锆石\n[化] 锆石
zirconsulphate,,硫锆石
zirconyl,,氧锆基
zirconyl (di)chloride,,[化] 氯氧化锆; 二氯氧化锆
zirconyl bromide,,[化] 二溴氧化锆
zirconyl carbonate,,[化] 碳酸氧锆
zirconyl chloride,,[机] 氯氧化锆
zirconyl nitrate,,[化] 硝酸氧锆
zirfesite,,硅锆铁矿
zirkel,, [人名] 齐克尔
zirkelite,,钛锆钍矿
zirkite,,斜锆石砾; 天然斜锆石矿
zirkle,, [人名] 泽克尔
zirklerite,,铁镁氯铝(石)矿
Zirkonal,,泽康铝合金
zirkophyllite,,锆叶石
zirlite,,"羟铝石, 三水铝矿"
zirphaea,,钻岩贝
Zirtan,,泽坦碳化锆烧结合金
Zirten,,锆碳(烧结)合金
zis,,abbr. 区域集成服务器（Zone Integration Server）
zischke,, [人名] 齐施克
Zisium,,吉休姆高强度铝和金
Ziskon,,兹司康铝锌合金
zisp,,锡斯普糊
ziss,,abbr. Zebulon Israel Seafaring Society 以色列泽伦（族）（以色列十二个部族之一）航海事业协会
zit,n a small inflamed elevation of the skin; a pustule or papule; common symptom in acne,(AmE)丘疹
Zita,,n. 思蒂（女子名）
zitan,,水解蛋白
zither,n. a musical stringed instrument with strings stretched over a flat sounding board; it is laid flat and played with a plectrum and with fingers,n. 齐特琴
zitherist,,n. 齐特琴演奏者
zithern,n a musical stringed instrument with strings stretched over a flat sounding board; it is laid flat and played with a plectrum and with fingers,(=zither)n.齐特拉琴
zithers,n. a musical stringed instrument with strings stretched over a flat sounding board; it is laid flat and played with a plectrum and with fingers,"n. 筝, 齐特琴, 扁琴( zither的复数形式 )"
zithromax,, [医]希舒美（含azithromycin dihydrate）<抗生素类药>
ziti,n. medium-sized tubular pasta in short pieces,[单复同]n.意大利通心面(包括通心粉等)
zito,, [人名] 齐托
zitovitch's test,,[医] 齐托维奇氏试验(检癌)
zitox,,福美锌
zits,n. a small inflamed elevation of the skin; a pustule or papule; common symptom in acne,n. <美>丘疹( zit的复数形式 )
zittavite,,脆褐煤
zitterbewegung,,[化] 颤动
Zittmann's decoction,,[医] 齐特曼氏煎剂(含洋菝葜、甘汞、朱砂、明矾、番泻叶等)
ziv,, [人名] 齐夫
ziva,,n. （女名）茜娃
Ziyang,,资阳（地名）
zizania,"n. A genus of grasses including Indian rice. See Indian rice,\n   under Rice.",菰属
Zizania aquatica,,"[医] 菰, 茭白(姜片虫的媒介之一)"
Zizania L.,,[医] 菰属
zizanin,,茭蠕孢菌素
Ziziphus,,[网络] 枣属；鼠李科枣属；红枣
Ziziphus jujuba,,[网络] 枣；大枣；枣树
Ziziphus lotus,,[网络] 鼠李科的枣莲
zizit,,[复]n.(犹太教男人祈祷时所穿的外套四个角上的)流苏
zizith,,n. 上衣的四角上的缨子
Zizylphus,,[医] 枣属
Zizylphus jujuba Mill.,,[医] 枣
Zizylphus vulgaris,,[医] 枣
zizyphine,,枣碱
zizyphus,, [医]枣属
zizz,n. a buzzing or whizzing sound\nn. a nap,"n. 连续低沉的声音, 瞌睡, 打盹"
zizzo,, [人名] 齐佐
zj,,abbr. zipper(ed) jacket 拉链夹克; zonder jaartel (Dutch=without date of publication) （丹麦语）没有出版日
zk,, [医][=z line]z线（即间板）
zl,,"abbr. 零位线, 基准线（zero line）"
zlatar,, [地名] [保加利亚、克罗地亚] 兹拉塔尔
Zlatoust,,兹拉托乌斯特[苏联乌拉尔城市]
zloties,plural of zloty\nn. the basic unit of money in Poland,(zloty 的复数) n. 兹罗提(波兰货币单位)
zlotnick,, [人名] 兹洛特尼克
zloty,n. the basic unit of money in Poland,n. 兹罗提(波兰货币单位)
zlotys,plural of zloty\nn. the basic unit of money in Poland,(zloty 的复数) n. 兹罗提(波兰货币单位)
ZM,,[计] 调零; 零调制
zma,," [医][=zinc meta-arsenite,insecticide]偏亚砷酸锌"
zmeskal,, [人名] 兹梅斯卡尔
Zmodem,,[计] Zmodem协议
zmud,, zMUD是互联网上最好的 MUD 客户端程序之一。它除了一般的功能以外，还提供很多实用的功能，是 MUD 玩家的必备软件。
Zn,n a bluish-white lustrous metallic element; brittle at ordinary temperatures but malleable when heated; used in a wide variety of alloys and in galvanizing iron; it occurs naturally as zinc sulphide in zinc blende,[医] 锌(30号元素)
zna,, [医][=mixture of dill weed and monosodium glutamate]莳萝草和谷氨酸钠混合物
zo,,abbr. 无输出（zero output）
zo-,, [医]动物
ZOA,pl.  of Zoon,"abbr.Zionist Organization of America美国犹太复国主义组织 , zoon的复数"
zoacanthosis,,[医] 动物残体性皮炎
zoaea,,n. 海蟹幼虫
zoalene,,"(=3, 5-dinitro-orthotoluamide) 3, 5-二硝基邻甲苯酰胺"
zoamylin,,糖原
Zoan,,琐安（塔尼斯的圣经名）
zoanon,,古希腊用木雕刻的肖像
zoantharia,n. pl. Same as Anthozoa.,"n. 花珊瑚类, 六放珊瑚类"
zoantharian,a. Of or pertaining to the Zoantharia.\nn. One of the Anthozoa.,n. [动] 海葵
zoanthid,,六放珊瑚
Zoanthidea,,六放珊瑚目
zoanthids,plural of zoanthid,(zoanthid 的复数) 六放珊瑚
zoanthina,,纵纤毛带幼虫
zoanthropic,,[医] 变兽妄想的
zoanthropy,n the delusion that you have assumed the form of an animal,n. [医] 变兽妄想
zoapatanol,,[化] 佐帕诺尔
Zoar,,n. 避难所(见旧约创世记)
Zoarces,,[网络] 绵鳚属；绵绷
Zoarces viviparus,,[网络] 绵鳚；绵鳚属；黏鱼
Zoarcidae,,[网络] 绵鳚科；绵科
zoarium,,"n. [动]苔藓虫硬体, 合体"
zoba,,abbr. bull+yak 公牛+牦牛（代号）
zobaa,,"高速尘卷, [埃及]佐巴风"
zobel,, [人名] 佐贝尔
zobell,, [人名] 佐贝尔
zoblitzite,,铝蛇纹石
zobo,n. A kind of domestic cattle reared in Asia for its flesh and\n   milk. It is supposed to be a hybrid between the zebu and the yak.,abbr. cow+yak 母牛+牦牛（代号）
zobrist,, [人名] 佐布里斯特
zobtenfels,,(=zobtenite)纤闪辉长片麻岩
zoccola,,"雕塑像的基座, 座石, 柱脚"
zoccolo,n. Same as Socle.,"座石, 柱脚"
zock,, [人名] 佐克
zocle,n. Same as Socle.,"座石, 柱脚"
zocor,,n. 斯伐他汀; [医]辛戈他丁
zod,,n. 萨德（游戏暗黑破坏神中的第33号符文）；佐德将军（漫画超人中的人物）
zodiac,n. a belt-shaped region in the heavens on either side to the ecliptic; divided into 12 constellations or signs for astrological purposes\nn. (astrology) a circular diagram representing the 12 zodiacal constellations and showing their signs,"n. 黄道带, 黄道十二宫图"
zodiacal,a. relating to or included in the zodiac,"a. 黄道带, 十二宫图"
zodiacal circle,,黄道圈
zodiacal light,,黄道光
zodiacal signs,,黄道十二宫
zodiacs,plural of zodiac\nn. a belt-shaped region in the heavens on either side to the ecliptic; divided into 12 constellations or signs for astrological purposes\nn. (astrology) a circular diagram representing the 12 zodiacal constellations and showing their signs,"(zodiac 的复数) n. 黄道带, 黄道十二宫图"
zodiophilous,,[医] 动物媒的
zoe,,n. 生命
Zoe Pound,"A Gang of hatian nationals that have grouped together in foreign countries, found in the Bahamas and also in Florida evidently as Rick Ross mentions them in the thank you's on his album.\r\nIt is unknown by this individual whether Zoe Pound is the haitian spin off of the Dog Pound Gang (D.P.G)which can also be found in the Bahamas, obviously named after Snoop Dogg's mentioned D.P.G. in his songs.\n> Zoe Pound niggas go hard. Them boyz not scared to represent, and they will chap ya wit a cutlass without second thought.\n",
zoea,"n. A peculiar larval stage of certain decapod Crustacea,\n   especially of crabs and certain Anomura.",n. 海蟹幼虫
zoeller,, [人名] 策勒
zoellick,, [人名] 佐利克
zoellner,, [人名] 佐尔纳
zoescope,,动态镜
zoesite,,纤硅石
zoete,, [人名] 佐特
zoetic,,"a. 有生命的, 有生气的"
zoetrope,"n. An optical toy, in which figures made to revolve on the\n   inside of a cylinder, and viewed through slits in its circumference,\n   appear like a single figure passing through a series of natural motions\n   as if animated or mechanically moved.","n. 旋转画筒, 西洋镜\n[医] 活动幻镜"
zoetropes,"plural of zoetrope\nn. An optical toy, in which figures made to revolve on the\n   inside of a cylinder, and viewed through slits in its circumference,\n   appear like a single figure passing through a series of natural motions\n   as if animated or mechanically moved.","(zoetrope 的复数) n. 旋转画筒, 西洋镜\n[医] 活动幻镜"
zoey,,佐伊（人名）
zof,,abbr. zone of fire 射击目标区
zoffany,, [人名] 佐法尼
zofits,someone or something thats off its head.\n> that smell is zofits\n,
zoftic,,a. 身体丰满的[女性]
zoftick,,a. 身体丰满的[女性]
zoftig,s (of a female body) healthily plump and vigorous; ,"(=zaftig)adj.丰满的, 性感的"
zog,,abbr. zero-order grating 零阶光栅; Zionist Occupation Govemment 锡安山占领政府; zona glomerulosa-specific factor 血管小球带特异因子
zog machine,a slang term for the Zionist Occupation Government.  This is a belief that many white nationalists or neo-fascists hold.\n> The white man's real enemy is the ZOG machine.\n,
zogbaum,, [人名] 佐格鲍姆
zogby,, [人名] 佐格比
zografos,, [地名] [希腊] 佐格拉福斯
Zohar,"n. A Jewish cabalistic book attributed by tradition to Rabbi\n   Simon ben Yochi, who lived about the end of the 1st century, a. d.\n   Modern critics believe it to be a compilation of the 13th century.",n. 《光明篇》(犹太神秘主义对摩西五书的注疏)
zohn,, [人名] 佐恩
zoic,a. pertaining to animals or animal life or action,"a. 动物的, 有...的(动物)生活方式的, 有生物的, 含有动植物遗迹的化石的\n[医] 动物的, 动物生活的"
zoid,,"[拉]小生物, 精细胞"
Zoidberg,"Despite being the 'unpopular' character in the series, Dr. John Zoidberg is one of the most popular characters of the hilarious show [Futurama], known for his voracious appetite, strange mating rituals, and complete ineptitude at dealing with human patients. Speaking of which, he's not human; he's a giant lobster. Who wears sandals. Is also known for his famous ""[w00p w00p w00p w00p]"" noise he makes when running away from danger. Loved by fans of the show, hated by the characters (For being lazy, disgusting and glutenous). Second only to [Bender] in hilarity.\n> (Planet Express has been blown back through time to the 1950s, the site of Roswell Air base, and Zoidberg has been captured by army recruits and is being interrogated by President Truman)\n> Truman: ""If you come in peace, surrender or be destroyed. If y'here to make war, *we* surrender.""\n> Zoidberg: ""Both good... the important thing is; I’m meeting new people.""\n> President Truman: ""Bush-wah! Now, what’s your mission? Are you planning to make some alien/human hybrid?""\n> Zoidberg: ""Are you coming onto me?!""\n> President Truman: ""Hot crackers! I take exception to that!""\n> Zoidberg: ""I'm not hearing a no...""\n",
zoidiophilous,,动物媒的
zoidogamae,,动物媒植物
zoidospore,,动物播种植物
zoie,, [人名] 佐薇
zoinks,"An exclamative. Made popular by the character Shaggy on the television show Scooby Doo. Often used by itself to express fright, panic or fear.\n> ""Zoinks!""\n",
Zoisia,,[网络] Zoysia
zoisite,"n. A grayish or whitish mineral occurring in orthorhombic,\n   prismatic crystals, also in columnar masses. It is a silicate of\n   alumina and lime, and is allied to epidote.",n. 黝帘石
zoisitization,,黝帘石化(作用)
zoism,,活力论
zokor,n. An Asiatic burrowing rodent (Siphneus aspalax) resembling\n   the mole rat. It is native of the Altai Mountains., 鼢鼠
zokumeitoo,,"续命汤(麻黄, 桂枝, 当归, 人参, 石膏, 干姜, 甘草, 杏仁, 川芎煎剂)(治脑溢血后遗症药)"
zol,, 中关村在线——中国第一科技门户，是一家资讯覆盖全国并定位于销售促进型的IT互动门户，被认为是大中华区最具商业价值的IT专业门户。
Zola,n. French novelist and critic; defender of Dreyfus (1840-1902),"左拉(1840-1902), 法国作家, 小说家"
Zolaesque,a in the manner of Emile Zola,"a. 左拉的, 左拉作品的"
Zolaism,,"n. 自然主义, 左拉主义"
Zolaist,,"n. 自然主义作家, 左拉主义者"
zolamine,,[化] 佐拉敏
zolberg,, [人名] 佐尔伯格
zolertine,,苯哌乙四唑
zolestin,,天青石
zolimidine,,[化] 佐利咪啶; 甲磺苯咪啶
Zoliose,,[医] 叶状的
zoll,, <德>十二分之一（食分）
zoller,, [人名] 佐勒
zollinger,, [人名] 佐林格
Zollinger-Ellison syndrome,,[网络] 胃酸过度分泌；佐林格一埃利森综合征；胃酸情况的患者
Zollner's figures,,[医] 泽耳纳氏图形
Zollner's lines,,[医] 泽耳纳氏线(眼检查用图形之一)
Zollverein,"n. Literally, a customs union; specifically, applied to\n   the several customs unions successively formed under the leadership of\n   Prussia among certain German states for establishing liberty of\n   commerce among themselves and common tariff on imports, exports, and\n   transit.",[德] 关税同盟
zolmox,,乙酰唑胺(利尿药)
zoloft,n a selective-serotonin reuptake inhibitor commonly prescribed as an antidepressant (trade name Zoloft),n. 左洛复（药物名）
Zolone,,伏杀磷
zolotow,, [人名] 佐洛托
zolpidem,, 唑吡旦
zoltan,,n. (Zoltan)人名；(英、罗、塞、意、捷)佐尔坦
zomba,n. a city in southern Malawi; was the capital until 1971,n. 松巴（马拉维首都）
zombi,n. (voodooism) a spirit or supernatural force that reanimates a dead body\nn. a god of voodoo cults of African origin worshipped especially in West Indies\nn. a dead body that has been brought back to life by a supernatural force,"n. 蛇神, 起死回生的魔力, 僵尸, 回魂尸, (美)鸡尾酒, 木鸡, 讨厌的家伙"
zombi spirit,,[网络] zombi精神
zombie,n. several kinds of rum with fruit juice and usually apricot liqueur,"n. 蛇神, 起死回生的魔力, 僵尸, 回魂尸, (美)鸡尾酒, 木鸡, 讨厌的家伙\n[计] 僵尸"
zombie ad,"A political advertisement that continues to appear on television or radio stations days if not weeks after the election is over. This includes political signs left in people's yards for months or old political bumper stickers stating one's support for Ross Perot, Bush/Cheney, or Proposition 13 from 1982.\n> I wish they would stop running those zombie ads on channel 7. Don't they realize the election ended a month ago?\n",
Zombie Company,"1. A technically bankrupt company that is kept alive with large infusions of government money for the sake of ""stability"" in the U.S. financial system. 2. A large financial company with negative net worth that continues to operate, despite having no clear path to solvency. 3. The UnDead of Wall Street.\n> ""AIG is the premier example of a zombie company -- kept alive only by $120 billion in federal bailout money. Apparently, it's considered too large to fail.""\n",
Zombie Crush,Having a genuine crush on someone who's dead.\n> I don't care that Rita Hayworth is dead! I love her anyway--it's a hardcore Zombie Crush.\n,
zombie jesus,"An exclamation of surpise or shock originating on Matt Groening's 'Futurama' animated TV show as a futuristic equivalent of the modern usage of 'Jesus Christ' as an exclamation. Usually preceded by the words 'sweet' or 'holy'.\n> ""Sweet zombie Jesus!""\n",
Zombie Jesus Day,"Easter... when Jesus rose from the dead... and we all know what a person is when he rises from the dead...\r\n\r\nTaken from [Cyanide and Happiness] comics on April 8, 2007.\n> Happy Zombie Jesus Day! *huggles*\n",
zombie spirit,,[网络] 僵尸精神
zombieking,Proof that hordes of mindless zombies in need of brains really do exist.\n> The zombie populations true numbers were exposed when they all came out of hiding to support the zombieking.\n,
zombielike,,a. zombie的变形
